XK-Z03CK,344.79
XK-Z04NN,351.57
XK-Z05CS,352.36
XK-Z06GL,356.73
XK-Z06LW,343.74
XK-Z07FW,350.06
XK-Z08MF,356.64
XK-Z09CG,351.63
XK-Z10KW,357.23
XK-Z11CP,346.28
XS-N001,8.6
XS-N002,4.17
XS-N003,6.0
XS-N004,17.74
XS-N005,5.11
XS-N006,0.46
XS-N007,8.43
XS-N008,3.11
XS-N009,3.5
XS-N010,3.57
XS-N011,8.42
XS-N012,7.62
XS-N013,6.26
XS-N017,1.16
XS-N026,20.93
XS-N027,10.75
XS-N111,0.23
XS-N211,6.87
XS-S001,352.76
XS-S002,3.77
XS-S003,3.92
XS-S004,2.48
XS-S005,2.27
XS-S006,2.44
XS-S007,359.97
XS-S008,3.17
XS-S009,1.45
XS-S010,3.88
XS-S011,6.07
XS-S012,2.46
XS-S013,359.96
XS-S014,7.25
XS-S015,5.25
XS-S016,5.97
XS-S017,354.95
XS-S018,2.93
XS-S019,1.74
XS-S020,3.15
XS-S021,0.78
XS-S022,1.11
XS-S023,0.09
XS-S024,6.39
XS-S025,10.47
XS-S026,2.78
XS-S027,3.6
XS-S028,358.48
XS-S029,12.03
XS-S030,4.32
XS-S031,8.73
XS-S032,4.6
XS-S033,6.22
XS-S034,1.11
XS-S035,5.95
XS-S036,346.13
XS-S037,2.43
XS-S038,4.87
XS-S039,357.15
XS-S040,3.88
XS-S041,348.02
XS-S042,340.76
XS-S104,357.8
XS-S126,354.09
XS-S129,355.21
XV-AMPY,358.0
XV-ANLA,355.18
XV-ANTS,3.42
XV-BAEL,357.83
XV-BAND,359.54
XV-BANJ,0.56
XV-BARY,358.86
XV-BATG,354.19
XV-BERG,359.97
XV-BITY,358.61
XV-BKTA,0.4
XV-CPSM,359.88
XV-DGOS,1.69
XV-KIRI,345.22
XV-LAHA,356.63
XV-LONA,2.44
XV-MAGY,0.12
XV-MAHA,358.91
XV-MAJA,0.28
XV-MAPH,267.93
XV-MARO,0.41
XV-MKVA,351.57
XV-MMBE,359.71
XV-MOCU,345.89
XV-MSGR,359.38
XV-NAPU,5.84
XV-SENA,180.46
XV-SOLA,359.65
XV-TANS,314.07
XV-TETE,1.97
XV-VATO,1.71
XV-VINA,359.19
XV-ZAKA,0.25
XV-ZOBE,357.35
XW-ADBA,344.84
XW-ADEN,356.3
XW-ADUA,0.78
XW-ALJZ,358.25
XW-ANID,353.58
XW-ARUT,17.58
XW-BSRN,359.22
XW-DABI,0.69
XW-DALA,352.44
XW-DAMT,17.77
XW-DEMT,0.06
XW-DERU,352.29
XW-DKUM,4.94
XW-DRAK,359.08
XW-DUQM,20.57
XW-EYUN,8.56
XW-FASH,0.0
XW-GASH,0.03
XW-GBRA,355.53
XW-GEAN,3.45
XW-GHAD,1.69
XW-GHDI,2.36
XW-GULU,358.13
XW-HAHY,2.3
XW-HAS3,351.37
XW-HATT,328.15
XW-HBAB,355.1
XW-HN01,357.37
XW-HOTA,354.14
XW-KARE,5.53
XW-KHAW,0.29
XW-KHLA,359.87
XW-KRWN,355.96
XW-LUSA,351.06
XW-MADQ,350.35
XW-MAWI,2.18
XW-MIRB,5.66
XW-MKRZ,356.65
XW-MKZA,354.76
XW-MOKA,1.17
XW-MUKA,2.87
XW-NIMR,7.57
XW-OMRN,358.37
XW-QISH,354.84
XW-RIMA,19.48
XW-RUSA,16.23
XW-SAAH,7.53
XW-SABA,356.02
XW-SADA,356.74
XW-SAHL,354.21
XW-SANA,14.88
XW-SAUM,0.54
XW-SAWQ,1.0
XW-SAYT,354.8
XW-SEYU,353.15
XW-SHA2,358.03
XW-SHIB,1.56
XW-SHUH,357.36
XW-SIMA,354.51
XW-SUGH,357.9
XW-SUYR,3.86
XW-TABU,356.03
XW-TAMR,4.37
XW-TAMU,357.12
XW-TARI,1.02
XW-TAWI,2.46
XW-TINA,3.6
XW-UAYA,2.98
XW-WAYM,0.0
XW-YSLE,1.09
XW-ZUWA,14.44
XZ-S01,354.74
XZ-S02,174.04
XZ-S03,358.82
XZ-S04,2.8
XZ-S05,176.87
XZ-S06,359.9
XZ-S07,357.26
XZ-S08,357.78
XZ-S09,176.66
XZ-S10,3.19
XZ-S11,356.98
YB-A1,3.27
YB-A2,4.04
YB-A22,248.74
YB-A3,358.82
YB-AT01,4.09
YB-AT02,5.2
YB-AT03,0.45
YB-AT04,1.23
YB-AT05,2.17
YB-AT06,3.76
YB-AT07,2.98
YB-AT08,2.78
YB-AT09,1.2
YB-AT10,3.73
YB-AT11,1.9
YB-AT12,3.19
YB-AT13,359.96
YB-AT14,3.91
YB-AT15,2.19
YB-AT16,3.25
YB-AT17,3.13
YB-AT18,20.0
YB-AT19,6.07
YB-AT20,2.68
YB-AT21,1.48
YB-AT22,0.86
YB-AT23,1.23
YB-AT24,3.34
YB-AT25,1.04
YB-AT26,1.79
YB-AT27,359.85
YB-AT28,0.91
YB-AT29,4.7
YB-AT30,4.02
YB-AT31,12.49
YB-AT32,4.1
YB-AT33,3.39
YB-AT34,8.58
YB-AT35,358.03
YB-AT37,2.57
YB-AT38,1.11
YB-AT39,10.72
YB-AT40,9.68
YB-AT41,1.37
YB-AT42,12.73
YB-AT43,4.06
YB-AT44,7.64
YB-AT45,11.5
YB-AT46,0.17
YB-AT47,358.89
YB-AT48,9.79
YB-AT49,10.16
YB-AT50,1.06
YB-AT51,1.59
YB-AT52,10.01
YB-AT53,1.47
YB-AT54,12.94
YB-AT55,359.01
YB-AT56,0.0
YB-AT57,6.41
YB-AT58,5.35
YB-AT59,11.24
YB-AT60,5.26
YB-AT61,5.77
YB-AT62,11.34
YB-AT63,4.88
YB-AT64,3.2
YB-AT65,355.9
YB-AT66,2.93
YB-AT67,359.81
YB-AT68,2.26
YB-AT69,2.09
YB-AT70,357.82
YB-AT71,359.74
YB-AT7A,358.56
YB-B1,357.83
YB-B2,4.2
YB-B3,0.0
YB-BB32,351.93
YB-C2,0.0
YB-D1,2.16
YB-D2,6.86
YB-D3,9.69
YB-M1,352.29
YB-M2,359.21
YB-M3,354.81
YB-M5,354.86
YB-M6,6.31
YB-M7,12.53
YB-M8,6.24
YD-ACII,9.51
YD-ALDC,26.2
YD-BRCA,0.29
YD-CIVI,2.86
YD-CO22,3.52
YD-GERM,7.63
YD-MMNN,1.51
YD-PIAN,348.35
YD-STEC,2.36
YF-ABSA,33.49
YF-APER,0.0
YF-CDLV,22.42
YF-GHAR,4.46
YF-ITHO,16.04
YF-KOUM,6.65
YF-MARJ,350.76
YH-CHAL,357.64
YH-IFAK,352.48
YH-INDI,2.54
YH-KIMA,357.47
YH-MANG,355.99
YH-MOHO,353.36
YH-MTWA,357.56
YH-WALE,355.66
YI-AAIR,346.65
YI-SCH,356.19
YJ-ADEE,357.55
YJ-ADUE,355.55
YJ-AMME,359.12
YJ-ANKE,358.02
YJ-AREE,359.6
YJ-ASEE,359.03
