net1,sta1,lat1,lon1,net2,sta2,lat2,lon2,4hrWnd,distance_km
II,ASCN,-7.933,-14.36,XB,PM24,32.995,-4.898,13629,4639.084
XK,B13NX,-18.579,21.994,IU,KOWA,14.497,-4.014,3498,4639.104
II,ASCN,-7.933,-14.36,XA,SA64,-22.969,26.202,1782,4639.495
II,ASCN,-7.933,-14.36,XA,SA03,-33.662,21.335,1991,4640.181
IU,TSUM,-19.202,17.584,XW,ADEN,12.776,44.982,6072,4640.994
II,MBAR,-0.602,30.738,XG,HRSN,39.945,42.287,5500,4641.119
II,ASCN,-7.933,-14.36,GT,LBTB,-25.015,25.597,65769,4641.485
8A,HOCH,-21.49,17.853,IU,KOWA,14.497,-4.014,6358,4642.421
II,SUR,-32.38,20.812,XI,CHEF,6.161,38.21,2233,4646.796
YR,BANO,17.689,54.438,IU,LSZ,-15.278,28.188,1661,4646.957
II,ASCN,-7.933,-14.36,XA,SA63,-23.658,26.082,1782,4647.106
II,MBAR,-0.602,30.738,YD,GERM,39.32,16.667,2761,4647.886
YB,AT33,38.029,35.15,IU,KOWA,14.497,-4.014,2651,4648.108
XJ,LL66,-2.612,35.484,YB,AT20,39.364,34.157,5753,4649.724
II,ASCN,-7.933,-14.36,XB,PM23,33.128,-5.03,13640,4650.395
II,SACV,14.97,-23.609,MN,CEL,38.26,15.894,40491,4650.825
XJ,LN16,-2.621,36.465,YB,AT02,39.381,37.057,5676,4651.015
1C,KAPD,1.185,36.105,IU,KOWA,14.497,-4.014,1881,4651.362
YB,AT46,37.303,35.576,IU,KOWA,14.497,-4.014,1430,4651.633
XJ,LL66,-2.612,35.484,YB,AT02,39.381,37.057,5753,4652.415
ZV,SUMA,-7.964,31.625,IU,KOWA,14.497,-4.014,3905,4653.378
II,ASCN,-7.933,-14.36,XA,SA18,-28.633,24.306,4213,4653.569
XJ,LN16,-2.621,36.465,YB,AT20,39.364,34.157,5665,4654.74
II,ASCN,-7.933,-14.36,XA,SA31,-26.995,25.021,4422,4655.438
XJ,LN16,-2.621,36.465,HL,ITM,37.179,21.925,6952,4655.936
II,SUR,-32.38,20.812,YY,WADE,5.785,39.312,7260,4656.251
IU,TSUM,-19.202,17.584,XW,HOTA,13.064,44.876,1364,4657.663
XJ,LL66,-2.612,35.484,YB,AT12,39.452,34.745,4433,4658.122
1C,NATN,1.041,36.123,IU,KOWA,14.497,-4.014,2277,4658.839
YR,HADO,17.223,55.194,IU,LSZ,-15.278,28.188,3718,4659.844
YB,AT22,38.591,34.99,IU,KOWA,14.497,-4.014,2629,4660.344
1C,MOND,0.896,36.086,IU,KOWA,14.497,-4.014,1749,4660.668
XJ,LN16,-2.621,36.465,YB,AT12,39.452,34.745,4620,4661.83
IU,KMBO,-1.127,37.252,XS,S034,38.881,23.05,5170,4662.339
II,MBAR,-0.602,30.738,XG,CMCY,39.92,43.197,2695,4662.767
AF,KTWE,-12.814,28.209,IU,KOWA,14.497,-4.014,4697,4662.932
II,MSEY,-4.674,55.479,IU,MSKU,-1.656,13.612,9680,4664.627
II,ABPO,-19.018,47.229,AF,YNDE,3.87,11.456,11935,4665.301
II,MBAR,-0.602,30.738,YD,ACII,39.359,16.227,2783,4665.952
1C,SIL,1.149,36.238,IU,KOWA,14.497,-4.014,1782,4666.621
II,ASCN,-7.933,-14.36,XB,PM22,33.295,-5.107,4697,4666.655
IU,TSUM,-19.202,17.584,XW,DKUM,13.271,44.757,1903,4666.752
NR,NE207,-19.53,21.174,IU,KOWA,14.497,-4.014,4840,4666.817
XK,B12SS,-18.746,22.196,IU,KOWA,14.497,-4.014,3080,4666.945
II,MSEY,-4.674,55.479,6A,WP20,-18.687,14.946,5434,4667.709
II,ASCN,-7.933,-14.36,XB,PM22B,33.308,-5.102,8547,4668.166
8A,AIAI,-27.916,17.491,IU,FURI,8.895,38.68,2112,4668.547
1C,NAUD,1.027,36.22,IU,KOWA,14.497,-4.014,2200,4669.487
TT,TATN,32.579,10.529,IU,KMBO,-1.127,37.252,5159,4670.535
II,ASCN,-7.933,-14.36,XK,B01KR,-22.238,26.718,6600,4671.676
YB,AT34,37.905,35.515,IU,KOWA,14.497,-4.014,2651,4672.222
II,RAYN,23.522,45.503,XV,SENA,-17.445,35.032,5225,4672.753
II,MBAR,-0.602,30.738,YD,BRCA,39.516,16.513,2255,4672.992
1C,NAK,0.77,36.165,IU,KOWA,14.497,-4.014,1771,4673.85
II,MBAR,-0.602,30.738,YD,CO22,39.493,16.305,2717,4677.24
1C,KTG,0.902,36.257,IU,KOWA,14.497,-4.014,2002,4678.226
1C,NASO,1.172,36.359,IU,KOWA,14.497,-4.014,2112,4678.347
1C,AKWI,1.037,36.31,IU,KOWA,14.497,-4.014,2079,4678.473
II,MSEY,-4.674,55.479,8A,MALT,-24.846,16.996,1133,4678.756
II,MSEY,-4.674,55.479,8A,KETS,-26.841,17.944,2167,4679.788
II,ASCN,-7.933,-14.36,XA,SA14,-29.868,24.023,3410,4680.685
YB,AT12,39.452,34.745,IU,KOWA,14.497,-4.014,2035,4680.836
II,MSEY,-4.674,55.479,XB,CM14,4.422,14.358,3245,4682.046
XJ,LL66,-2.612,35.484,YB,AT06,39.673,35.666,5753,4682.081
II,ASCN,-7.933,-14.36,XA,SA71,-20.926,27.141,1551,4683.179
IU,LSZ,-15.278,28.188,XW,HAS3,17.489,55.218,2090,4683.744
