Network,Station,Latitude,Longitude,In_africa,connCnt,Orientation,CCF
AF,LBB,-11.631,27.485,1,585,1,1
AF,MBEY,-9.0,33.25,1,660,1,1
AF,MONG,-15.15,23.09,1,0,1,0
AF,MOPA,-23.517,31.398,1,525,1,1
AF,MSNA,-22.449,30.024,1,136,1,1
AF,MTVE,-10.25,40.167,1,272,1,1
AF,MZM,-11.434,34.035,1,0,1,0
AF,NBI,-1.2739,36.8037,1,465,1,1
AF,NSU,6.86685,7.41742,1,379,0,1
AF,PKA,-29.67,22.757,1,642,1,1
AF,POGA,-27.346,31.707,1,452,1,1
AF,PWET,-8.28,28.53,1,0,1,0
AF,RUDU,-17.909599,19.764799,1,82,2,1
AF,SEK,-28.323,27.625,1,346,1,1
AF,SHAI,5.8814,0.0439,1,425,1,1
AF,SKRH,-22.827,44.733,0,362,1,1
AF,SNKL,-28.27528,27.7714,1,146,2,1
AF,SOE,-32.712,25.562,1,193,1,1
AF,SWZ,-27.182,25.332,1,502,1,1
AF,TEBE,0.0536,32.483,1,816,1,1
AF,TETE,-16.1467,33.5768,1,135,1,1
AF,TEZI,-15.747,26.016,1,801,1,1
AF,UPI,-28.362,21.253,1,500,1,1
AF,WDLM,-26.424,27.422,1,347,1,1
AF,WIN,-22.5667,17.1,1,928,1,1
AF,YNDE,3.87,11.456,1,678,1,1
AF,ZOMB,-15.3833,35.35,1,0,1,0
BX,BROLN,-21.09967,27.33424,1,59,2,1
BX,CKGRV,-21.403549,23.771767,1,73,2,1
BX,GMARE,-19.389299,22.162458,1,54,2,1
BX,GRTLG,-21.36191,21.215712,1,59,2,1
BX,KDWAN,-23.38039,24.660793,1,58,2,1
BX,KGCAE,-22.853821,22.206787,1,59,2,1
BX,KHWEE,-21.9464,25.446911,1,59,2,1
BX,KOOLE,-22.993059,20.195551,1,59,2,1
BX,KSANE,-17.800171,25.161894,1,59,2,1
BX,LKGWB,-24.11351,21.782303,1,59,2,1
BX,LPHEP,-23.363029,25.859613,1,59,2,1
BX,MAKGR,-25.81185,24.800846,1,59,2,1
BX,MREMI,-22.56967,27.446815,1,58,2,1
BX,PHDHD,-20.195681,24.537193,1,59,2,1
BX,PHPEN,-25.475531,22.857294,1,0,0,0
BX,QNGWA,-19.52956,21.174,1,58,2,1
BX,SKOMA,-24.515341,23.932789,1,59,2,1
BX,SOOWA,-20.562851,26.21785,1,0,0,0
BX,XAUDM,-18.53956,21.338223,1,54,2,1
DW,TOL,39.8814,-4.0485,0,6,1,1
