Network,Station,Latitude,Longitude,In_africa
XB,PS01,36.08,-5.6236,0
XB,PS02,36.2564,-5.3708,0
XB,PS03,36.3932,-5.415,0
XB,PS04,36.6051,-5.3228,0
XB,PS05,36.6457,-5.0938,0
XB,PS06,36.7314,-5.5144,0
XB,PS07,36.6706,-4.7988,0
XB,PS08,36.741,-4.643,0
XB,PS09,36.8235,-5.2325,0
XB,PS10,36.8025,-4.9044,0
XB,PS11,36.8728,-4.6805,0
XB,PS12,37.0506,-5.1867,0
XB,PS13,37.0573,-4.7495,0
XB,PS14,37.1475,-5.5178,0
XB,PS15,37.1409,-4.5028,0
XB,PS16,37.2131,-5.0491,0
XB,PS17,37.2934,-5.3916,0
XB,PS18,37.2498,-4.7376,0
XB,PS19,37.3716,-4.9943,0
XB,PS21,37.3446,-4.4559,0
XB,PS22,37.3658,-4.7038,0
XB,PS23,37.5602,-5.1014,0
XB,PS24,37.6071,-5.4031,0
XB,PS26,37.722,-4.9634,0
XB,PS30,37.836,-4.9038,0
XB,PS33,38.1574,-4.9056,0
XB,PS34,38.4335,-4.7503,0
XB,PS35,38.7136,-4.8819,0
XB,PS37,38.9997,-4.9555,0
XB,PS39,39.3947,-5.0049,0
XB,PS40,39.4862,-4.8449,0
XB,PS41,36.667,-5.9442,0
XB,PS42,36.5282,-5.0434,0
XB,PS44,36.3173,-5.9889,0
XB,PS45,36.3055,-5.7158,0
XB,PS46,36.8236,-4.3411,0
XB,PS47,36.8698,-4.0794,0
XB,PS48,36.9012,-3.7271,0
XB,PS49,36.9033,-3.1827,0
XB,PS51,36.973,-4.8873,0
XB,PS52,37.0036,-4.2263,0
XB,PS53,37.057,-3.9636,0
XB,PS56,37.1101,-3.4368,0
XB,PS57,37.0115,-2.9864,0
XB,PS58,37.2636,-3.9969,0
XB,PS59,37.3241,-3.7995,0
XB,PS60,37.3267,-3.4519,0
XB,PS61,37.2887,-3.0686,0
XC,BRAN,-21.359,14.749,1
XC,CAPN,-21.759,13.968,0
XC,LEON,-23.435,18.743,1
XC,OUTN,-20.151,15.689,1
XC,WATN,-20.612,17.335,1
XD,AMBA,-8.106,33.2588,1
XD,BASO,-4.3238,35.1382,1
XD,GOMA,-4.8392,29.6927,1
XD,HALE,-5.3018,38.617,1
XD,INZA,-5.1168,30.3988,1
XD,KIBA,-5.3223,36.5695,1
XD,KIBE,-5.3775,37.4763,1
XD,KOMO,-3.8422,36.7192,1
XD,KOND,-4.904,35.7965,1
XD,LONG,-2.7252,36.6983,1
XD,MBWE,-4.961,34.3462,1
XD,MITU,-6.0192,34.056,1
XD,MTAN,-7.9073,33.3203,1
XD,MTOR,-5.2508,35.4007,1
XD,PAND,-8.9835,33.2415,1
XD,PUGE,-4.7145,33.1842,1
XD,RUNG,-6.9372,33.518,1
XD,SING,-4.6403,34.7315,1
XD,TARA,-3.8892,36.0163,1
XD,TUND,-9.2958,32.7712,1
XD,URAM,-5.0878,32.0832,1
XG,AGIN,38.9391,38.713,0
XG,AHLT,38.7481,42.477,0
XG,BNGL,38.9195,40.5966,0
XG,BTLS,38.4311,42.1238,0
XG,BYKN,38.1665,41.7823,0
XG,CMCY,39.9205,43.1968,0
XG,DGSU,39.1311,42.7297,0
XG,DYBR,37.823,40.3186,0
XG,ERGN,38.2587,39.7287,0
XG,HAMR,39.6136,42.9927,0
XG,HINS,39.3489,41.6972,0
XG,HRPT,38.7043,39.2453,0
XG,HRSN,39.9453,42.2874,0
XG,ILIC,39.4531,38.5686,0
XG,IMRL,39.8787,38.1183,0
XG,KRLV,39.3746,40.9881,0
XG,KTLN,37.9533,41.7052,0
XG,KYPR,37.5589,41.1692,0
XG,MRDN,37.2897,40.7,0
XG,MUSH,38.7571,41.4831,0
XG,SILN,38.1352,41.041,0
XG,UZML,39.7134,39.7156,0
XH,AKH,38.9149,27.8081,0
XH,AYD,37.8407,27.8374,0
XH,BOZ,38.3002,28.0495,0
XH,DEU,38.371,27.2078,0
XH,KUL,38.5401,28.6339,0
XI,AAUS,9.035,38.767,1
XI,AFIF,23.931,43.04,0
XI,ANGA,-2.5,36.8,1
XI,ARBA,6.0672,37.5564,1
XI,BAHI,11.5743,37.3934,1
XI,BARI,0.4662,35.9806,1
XI,BDAR,9.6721,39.5254,1
XI,BELA,6.9286,38.4702,1
XI,BIRH,9.6723,39.5253,1
XI,BOKO,-2.255681,37.729881,1
XI,BUTA,8.1171,38.3824,1
XI,CHEF,6.1613,38.2101,1
XI,DELE,8.4393,36.3259,1
XI,DIYA,11.8343,39.5956,1
XI,DMRK,10.308,37.729,1
XI,FICH,9.7822,38.7372,1
XI,GOBA,7.027,39.982,1
XI,GUDE,8.9665,37.7652,1
XI,HALM,22.8454,44.3173,0
XI,HERO,7.0263,39.2769,1
XI,HIRN,9.2224,41.1059,1
XI,HOSA,7.564,37.8573,1
XI,JIMA,7.684,36.831,1
XI,KAKA,0.5587,34.7963,1
XI,KARA,10.4224,39.9348,1
XI,KIBO,-2.255696,37.729885,1
XI,KITU,-1.373,38.0021,1
XI,KR42,0.037997,35.726284,1
XI,NARO,-1.0733,35.8654,1
XI,NAZA,8.568,39.2907,1
XI,NDEI,-2.692823,38.168716,1
XI,NEKE,9.089,36.5235,1
XI,RANI,21.3116,42.7761,0
XI,RAYN,23.522,45.5008,0
XI,RIYD,24.722,46.643,0
XI,SELA,7.9729,39.1317,1
XI,SODA,18.2921,42.3769,0
XI,TAIF,21.281,40.349,0
XI,TALE,0.9792,34.976,1
XI,TEND,11.7925,41.0043,1
XI,TERC,7.1446,37.1747,1
XI,UQSK,25.789,42.36,0
XI,WANE,10.1694,40.6491,1
XI,WASH,8.9895,40.1659,1
XI,WELK,8.2946,37.7818,1
XJ,KEN1,-1.9412,36.6927,1
XJ,KEN2,-1.9184,36.2873,1
XJ,KEN3,-2.0932,36.1186,1
XJ,KEN4,-1.784,36.0536,1
XJ,LL21,-2.0627,35.551,1
XJ,LL22,-2.5195,35.5989,1
XJ,LL23,-2.2969,35.69,1
XJ,LL24,-2.2662,35.8072,1
XJ,LL65,-2.418,35.434,1
XJ,LL66,-2.6123,35.4842,1
XJ,LN14,-2.4394,36.4154,1
XJ,LN15,-2.6279,36.1846,1
XJ,LN16,-2.6207,36.4648,1
XJ,LN25,-2.5006,35.8864,1
XJ,LN26,-2.6104,35.8785,1
XJ,LN34,-2.751,36.0485,1
XJ,LN35,-2.6304,36.0059,1
XJ,LN45,-2.9927,36.2921,1
XJ,LN46,-3.007,36.6767,1
XJ,MW36,-3.0158,35.9981,1
XJ,MW41,-3.2305,36.4448,1
XJ,MW42,-3.04,36.1011,1
XJ,MW43,-3.2046,35.9459,1
XJ,MW44,-3.3437,35.6638,1
XJ,NG54,-2.7316,35.3595,1
XJ,NG55,-3.1418,35.687,1
XJ,NG56,-3.096,35.4086,1
XJ,PR11,-2.8231,36.2991,1
XJ,PR12,-2.8253,36.3833,1
XJ,PR13,-2.8426,36.4792,1
XJ,PR31,-2.919,36.0476,1
XJ,PR32,-2.8754,36.1813,1
XJ,PR33,-2.8391,36.1395,1
XJ,PR52,-2.9593,35.7024,1
XJ,PR53,-2.8538,35.8354,1
XJ,PR61,-2.9586,35.2478,1
XJ,PR62,-2.9834,35.3736,1
XJ,PR63,-2.9933,35.5067,1
XJ,PR64,-2.8014,35.5331,1
XK,B01KR,-22.2377,26.7184,1
XK,B02LT,-21.3928,25.5811,1
XK,B03SL,-21.1207,24.7635,1
XK,B04KH,-20.4742,24.5139,1
XK,B05MO,-20.2184,24.132,1
XK,B06OR,-19.9011,23.5269,1
XK,B07DX,-20.549,22.7494,1
XK,B08TS,-20.1645,22.4588,1
XK,B09NK,-19.6626,22.1937,1
XK,B10PP,-18.9132,22.5427,1
XK,B11ET,-19.0159,22.3165,1
XK,B12SS,-18.7462,22.1965,1
XK,B13NX,-18.5794,21.9944,1
XK,B14MH,-18.295,21.7918,1
XK,B15MW,-19.6305,23.8268,1
XK,B1665,-22.8246,27.2286,1
XK,B17CI,-19.2938,22.9094,1
XK,Q01MP,-13.4078,34.87,1
XK,Q02GG,-13.2923,35.0304,1
XK,Q03LC,-13.3088,35.2425,1
XK,Q04NM,-13.3309,35.6584,1
XK,Q05MJ,-13.3953,36.1257,1
XK,Q05ML,-13.4671,36.1397,1
XK,Q06MQ,-13.3496,36.7453,1
XK,Q07MR,-13.1967,37.4986,1
XK,W01PD,-13.7073,33.0061,1
XK,W02NB,-13.724,33.5599,1
XK,W03BL,-13.6788,33.8245,1
XK,W04VR,-13.7212,34.1205,1
